[NODE]-[N4]-[1]-[1]     [BEAMCOLUMN]-[E3]-[1]-[2]
-0.00365481     -84.9109
-0.00393594     -91.4425
-0.00421708     -97.9741
-0.00449822     -104.506
-0.00477936     -111.037
-0.0050605     -117.569
-0.00534164     -124.1
-0.00562278     -130.632
-0.00590392     -137.164
-0.00618506     -143.695
-0.00646619     -150.227
-0.00674733     -156.758
-0.00702847     -163.29
-0.00674733     -156.758
-0.00646619     -150.227
-0.00618506     -143.695
-0.00590392     -137.164
-0.00562278     -130.632
-0.00534164     -124.1
-0.0050605     -117.569
-0.00477936     -111.037
-0.00449822     -104.506
-0.00421708     -97.9741
-0.00393594     -91.4425
-0.00365481     -84.9109
-0.00337367     -78.3792
-0.00309253     -71.8476
-0.00281139     -65.316
-0.00253025     -58.7844
-0.00224911     -52.2528
-0.00196797     -45.7212
-0.00168683     -39.1896
-0.00140569     -32.658
-0.00112456     -26.1264
-0.000843417     -19.5948
-0.000562278     -13.0632
-0.000281139     -6.5316
-6.07153e-18     -6.245e-14
0.000281139     6.5316
0.000562278     13.0632
0.000843417     19.5948
0.00112456     26.1264
0.00140569     32.658
0.00168683     39.1896
0.00196797     45.7212
0.00224911     52.2528
0.00253025     58.7844
0.00281139     65.316
0.00309253     71.8476
0.00337367     78.3792
0.00365481     84.9109
0.00393594     91.4425
0.00421708     97.9741
0.00449822     104.506
0.00477936     111.037
0.0050605     117.569
0.00534164     124.1
0.00562278     130.632
0.00590392     137.164
0.00618506     143.695
0.00646619     150.227
0.00674733     156.758
0.00702847     163.29
0.00674733     156.758
0.00646619     150.227
0.00618506     143.695
0.00590392     137.164
0.00562278     130.632
0.00534164     124.1
0.0050605     117.569
0.00477936     111.037
0.00449822     104.506
0.00421708     97.9741
0.00393594     91.4425
0.00365481     84.9109
0.00337367     78.3792
0.00309253     71.8476
0.00281139     65.316
0.00253025     58.7844
0.00224911     52.2528
0.00196797     45.7212
0.00168683     39.1896
0.00140569     32.658
0.00112456     26.1264
0.000843417     19.5948
0.000562278     13.0632
0.000281139     6.5316
-6.07153e-18     -6.245e-14
-0.000281139     -6.5316
-0.000562278     -13.0632
-0.000843417     -19.5948
-0.00112456     -26.1264
-0.00140569     -32.658
-0.00168683     -39.1896
-0.00196797     -45.7212
-0.00224911     -52.2528
-0.00253025     -58.7844
-0.00281139     -65.316
-0.00309253     -71.8476
-0.00337367     -78.3792
-0.00365481     -84.9109
-0.00393594     -91.4425
-0.00421708     -97.9741
-0.00449822     -104.506
-0.00477936     -111.037
-0.0050605     -117.569
-0.00534164     -124.1
-0.00562278     -130.632
-0.00590392     -137.164
-0.00618506     -143.695
-0.00646619     -150.227
-0.00674733     -156.758
-0.00702847     -163.29
-0.00674733     -156.758
-0.00646619     -150.227
-0.00618506     -143.695
-0.00590392     -137.164
-0.00562278     -130.632
-0.00534164     -124.1
-0.0050605     -117.569
-0.00477936     -111.037
-0.00449822     -104.506
-0.00421708     -97.9741
-0.00393594     -91.4425
-0.00365481     -84.9109
-0.00337367     -78.3792
-0.00309253     -71.8476
-0.00281139     -65.316
-0.00253025     -58.7844
-0.00224911     -52.2528
-0.00196797     -45.7212
-0.00168683     -39.1896
-0.00140569     -32.658
-0.00112456     -26.1264
-0.000843417     -19.5948
-0.000562278     -13.0632
-0.000281139     -6.5316
-6.07153e-18     -6.245e-14
0.000281139     6.5316
0.000562278     13.0632
0.000843417     19.5948
0.00112456     26.1264
0.00140569     32.658
0.00168683     39.1896
0.00196797     45.7212
0.00224911     52.2528
0.00253025     58.7844
0.00281139     65.316
0.00309253     71.8476
0.00337367     78.3792
0.00365481     84.9109
0.00393594     91.4425
0.00421708     97.9741
0.00449822     104.506
0.00477936     111.037
0.0050605     117.569
0.00534164     124.1
0.00562278     130.632
0.00590392     137.164
0.00618506     143.695
0.00646619     150.227
0.00674733     156.758
0.00702847     163.29
0.00674733     156.758
0.00646619     150.227
0.00618506     143.695
0.00590392     137.164
0.00562278     130.632
0.00534164     124.1
0.0050605     117.569
0.00477936     111.037
0.00449822     104.506
0.00421708     97.9741
0.00393594     91.4425
0.00365481     84.9109
0.00337367     78.3792
0.00309253     71.8476
0.00281139     65.316
0.00253025     58.7844
0.00224911     52.2528
0.00196797     45.7212
0.00168683     39.1896
0.00140569     32.658
0.00112456     26.1264
0.000843417     19.5948
0.000562278     13.0632
0.000281139     6.5316
-6.07153e-18     -6.245e-14
-0.000281139     -6.5316
-0.000562278     -13.0632
-0.000843417     -19.5948
-0.00112456     -26.1264
-0.00140569     -32.658
-0.00168683     -39.1896
-0.00196797     -45.7212
-0.00224911     -52.2528
-0.00253025     -58.7844
-0.00281139     -65.316
-0.00309253     -71.8476
-0.00337367     -78.3792
-0.00365481     -84.9109
-0.00393594     -91.4425
-0.00421708     -97.9741
-0.00449822     -104.506
-0.00477936     -111.037
-0.0050605     -117.569
-0.00534164     -124.1
-0.00562278     -130.632
-0.00590392     -137.164
-0.00618506     -143.695
-0.00646619     -150.227
-0.00674733     -156.758
-0.00702847     -163.29
-0.00674733     -156.758
-0.00646619     -150.227
-0.00618506     -143.695
-0.00590392     -137.164
-0.00562278     -130.632
-0.00534164     -124.1
-0.0050605     -117.569
-0.00477936     -111.037
-0.00449822     -104.506
-0.00421708     -97.9741
-0.00393594     -91.4425
-0.00365481     -84.9109
-0.00337367     -78.3792
-0.00309253     -71.8476
-0.00281139     -65.316
-0.00253025     -58.7844
-0.00224911     -52.2528
-0.00196797     -45.7212
-0.00168683     -39.1896
-0.00140569     -32.658
-0.00112456     -26.1264
-0.000843417     -19.5948
-0.000562278     -13.0632
-0.000281139     -6.5316
-6.07153e-18     -6.245e-14
0.000281139     6.5316
0.000562278     13.0632
0.000843417     19.5948
0.00112456     26.1264
0.00140569     32.658
0.00168683     39.1896
0.00196797     45.7212
0.00224911     52.2528
0.00253025     58.7844
0.00281139     65.316
0.00309253     71.8476
0.00337367     78.3792
0.00365481     84.9109
0.00393594     91.4425
0.00421708     97.9741
0.00449822     104.506
0.00477936     111.037
0.0050605     117.569
0.00534164     124.1
0.00562278     130.632
0.00590392     137.164
0.00618506     143.695
0.00646619     150.227
0.00674733     156.758
0.00702847     163.29
0.00674733     156.758
0.00646619     150.227
0.00618506     143.695
0.00590392     137.164
0.00562278     130.632
0.00534164     124.1
0.0050605     117.569
0.00477936     111.037
0.00449822     104.506
0.00421708     97.9741
0.00393594     91.4425
0.00365481     84.9109
0.00337367     78.3792
0.00309253     71.8476
0.00281139     65.316
0.00253025     58.7844
0.00224911     52.2528
0.00196797     45.7212
0.00168683     39.1896
0.00140569     32.658
0.00112456     26.1264
0.000843417     19.5948
0.000562278     13.0632
0.000281139     6.5316
-6.07153e-18     -6.245e-14
-0.000281139     -6.5316
-0.000562278     -13.0632
-0.000843417     -19.5948
-0.00112456     -26.1264
-0.00140569     -32.658
-0.00168683     -39.1896
-0.00196797     -45.7212
